transcript_id,chromosome,gene_id,start,mean,mean_height,var,range,skew,peak_count,peak_location,peak_prominence,peak_width,peak_left,peak_right,entropy,annotated,peak_heights,rank,true_peak
ENSMUST00000195785.2,chr2,ENSMUSG00000102517.2,4108503,0.641025641001761,2.2941176470588234,5.768573307034845,14.0,3.945818563089787,2.0,12.0,1.0,2.960000000000001,11,13,0.39124401989118307,4108687,1.0,2.0,False
ENSMUST00000285665.1,chr2,ENSMUSG00000084859.9,4146100,21.20333333313465,6.976744186046512,7.641988888888888,23.0,-4.211315836323714,2.0,22.0,269.0,1.9636567164179084,21,22,0.5858201062456769,4145949,269.0,1.0,False
ENSMUST00000285665.1,chr2,ENSMUSG00000084859.9,4146100,21.20333333313465,6.976744186046512,7.641988888888888,23.0,-4.211315836323714,2.0,9.0,2.0,3.960000000000001,6,9,0.5858201062456769,4145949,2.0,2.0,False
ENSMUST00000091497.11,chr2,ENSMUSG00000026657.18,4157567,258279.0,0.0004588100900765932,6030030251.482993,320374.0,-2.957371698231993,6.0,278441.0,95.0,5.540425531915389,278440,278445,1.5320689986287939,4157682,95.0,1.0,False
ENSMUST00000091497.11,chr2,ENSMUSG00000026657.18,4157567,258279.0,0.0004588100900765932,6030030251.482993,320374.0,-2.957371698231993,6.0,0.0,12.0,1.9600000000000009,0,0,1.5320689986287939,4157682,12.0,2.0,False
ENSMUST00000091497.11,chr2,ENSMUSG00000026657.18,4157567,258279.0,0.0004588100900765932,6030030251.482993,320374.0,-2.957371698231993,6.0,320362.0,7.0,1.959999999962747,320361,320362,1.5320689986287939,4157682,7.0,3.0,False
ENSMUST00000091497.11,chr2,ENSMUSG00000026657.18,4157567,258279.0,0.0004588100900765932,6030030251.482993,320374.0,-2.957371698231993,6.0,320373.0,2.0,1.959999999962747,320372,320373,1.5320689986287939,4157682,2.0,4.0,False
ENSMUST00000091497.11,chr2,ENSMUSG00000026657.18,4157567,258279.0,0.0004588100900765932,6030030251.482993,320374.0,-2.957371698231993,6.0,278452.0,1.0,1.959999999962747,278451,278452,1.5320689986287939,4157682,1.0,5.0,False
ENSMUST00000091497.11,chr2,ENSMUSG00000026657.18,4157567,258279.0,0.0004588100900765932,6030030251.482993,320374.0,-2.957371698231993,6.0,278464.0,1.0,1.959999999962747,278463,278464,1.5320689986287939,4157682,1.0,6.0,False
ENSMUST00000194090.2,chr2,ENSMUSG00000102494.2,4321408,0.5664739888161421,9.35135135135135,4.378529185739584,17.0,4.130048014618602,2.0,0.0,318.0,1.9600000000000009,0,0,0.4618044189653846,4321289,318.0,1.0,False
ENSMUST00000194090.2,chr2,ENSMUSG00000102494.2,4321408,0.5664739888161421,9.35135135135135,4.378529185739584,17.0,4.130048014618602,2.0,12.0,1.0,1.4699999999999989,11,12,0.4618044189653846,4321289,2.0,2.0,False
ENSMUST00000118297.2,chr2,ENSMUSG00000083378.4,4705086,0.75,0.6896551724137931,3.3875,9.0,3.112595362342289,1.0,0.0,15.0,4.68,0,3,0.8953799046713389,4705048,15.0,0.0,False
ENSMUST00000345593.1,chr2,ENSMUSG00000138114.1,4706998,0.724999999627471,1.7777777777777777,9.774375,25.0,5.733562382649992,2.0,0.0,74.0,1.9600000000000009,0,0,0.36610906443202723,4707057,74.0,1.0,False
ENSMUST00000345593.1,chr2,ENSMUSG00000138114.1,4706998,0.724999999627471,1.7777777777777777,9.774375,25.0,5.733562382649992,2.0,24.0,1.0,1.9599999999999937,23,24,0.36610906443202723,4707057,1.0,2.0,False
ENSMUST00000313437.1,chr2,ENSMUSG00000132660.1,4818813,28.860759493894875,0.03556956325979289,122884.43630828396,4422.0,12.448230792032671,4.0,0.0,143.0,1.9600000000000009,0,0,0.5237247667198102,4818851,143.0,1.0,False
ENSMUST00000313437.1,chr2,ENSMUSG00000132660.1,4818813,28.860759493894875,0.03556956325979289,122884.43630828396,4422.0,12.448230792032671,4.0,16.0,1.0,1.9600000000000009,15,16,0.5237247667198102,4818851,1.0,2.0,False
ENSMUST00000313437.1,chr2,ENSMUSG00000132660.1,4818813,28.860759493894875,0.03556956325979289,122884.43630828396,4422.0,12.448230792032671,4.0,33.0,1.0,1.9599999999999937,32,33,0.5237247667198102,4818851,1.0,3.0,False
ENSMUST00000313437.1,chr2,ENSMUSG00000132660.1,4818813,28.860759493894875,0.03556956325979289,122884.43630828396,4422.0,12.448230792032671,4.0,4421.0,1.0,1.9599999999991269,4420,4421,0.5237247667198102,4818851,1.0,4.0,False
ENSMUST00000195688.2,chr2,ENSMUSG00000026668.11,4980923,0.9673913046717644,2.0444444444444443,10.488067107750473,25.0,4.862099451870045,3.0,0.0,80.0,1.9600000000000009,0,0,0.6152326522186662,4980994,80.0,1.0,False
ENSMUST00000195688.2,chr2,ENSMUSG00000026668.11,4980923,0.9673913046717644,2.0444444444444443,10.488067107750473,25.0,4.862099451870045,3.0,13.0,1.0,1.9600000000000009,12,13,0.6152326522186662,4980994,1.0,2.0,False
ENSMUST00000195688.2,chr2,ENSMUSG00000026668.11,4980923,0.9673913046717644,2.0444444444444443,10.488067107750473,25.0,4.862099451870045,3.0,24.0,1.0,1.9599999999999937,23,24,0.6152326522186662,4980994,1.0,3.0,False
ENSMUST00000167607.8,chr2,ENSMUSG00000026668.11,4980931,2.837837837636471,1.1384615384615384,28.325054784514247,45.0,6.693041183231719,3.0,2.0,60.0,1.9600000000000009,1,2,0.7303026592735633,4980932,60.0,1.0,False
ENSMUST00000167607.8,chr2,ENSMUSG00000026668.11,4980931,2.837837837636471,1.1384615384615384,28.325054784514247,45.0,6.693041183231719,3.0,20.0,1.0,1.9600000000000009,19,20,0.7303026592735633,4980932,1.0,2.0,False
ENSMUST00000167607.8,chr2,ENSMUSG00000026668.11,4980931,2.837837837636471,1.1384615384615384,28.325054784514247,45.0,6.693041183231719,3.0,44.0,1.0,1.9599999999999937,43,44,0.7303026592735633,4980932,1.0,3.0,False
ENSMUST00000027988.8,chr2,ENSMUSG00000026676.8,5142563,0.49104859307408333,9.093023255813954,4.807464629352241,23.0,5.774801604662818,2.0,0.0,365.0,1.9626923076923077,0,0,0.4032871880034806,5142586,365.0,1.0,False
ENSMUST00000027988.8,chr2,ENSMUSG00000026676.8,5142563,0.49104859307408333,9.093023255813954,4.807464629352241,23.0,5.774801604662818,2.0,22.0,1.0,1.9599999999999973,21,22,0.4032871880034806,5142586,1.0,2.0,False
ENSMUST00000119322.2,chr2,ENSMUSG00000081005.2,5161163,0.5769230769947171,0.7222222222222222,8.321005917159763,16.0,4.799999999925494,2.0,0.0,25.0,1.9600000000000009,0,0,0.16302362949436594,5161202,25.0,1.0,False
ENSMUST00000119322.2,chr2,ENSMUSG00000081005.2,5161163,0.5769230769947171,0.7222222222222222,8.321005917159763,16.0,4.799999999925494,2.0,15.0,1.0,1.9600000000000009,14,15,0.16302362949436594,5161202,1.0,2.0,False
ENSMUST00000122657.3,chr2,ENSMUSG00000084606.3,5265091,21.0,0.627906976744186,17.40740740740741,23.0,-4.7150791155760485,2.0,22.0,24.0,1.9599999999999973,21,22,0.4709001279172663,5264927,24.0,1.0,False
ENSMUST00000122657.3,chr2,ENSMUSG00000084606.3,5265091,21.0,0.627906976744186,17.40740740740741,23.0,-4.7150791155760485,2.0,0.0,1.0,1.9600000000000009,0,0,0.4709001279172663,5264927,1.0,2.0,False
ENSMUST00000347853.1,chr2,ENSMUSG00000138435.1,5732601,0.5,2.875,3.7065217391304346,12.0,4.025867788274302,2.0,0.0,85.0,1.9600000000000009,0,0,0.41716513355255225,5732780,85.0,1.0,False
ENSMUST00000347853.1,chr2,ENSMUSG00000138435.1,5732601,0.5,2.875,3.7065217391304346,12.0,4.025867788274302,2.0,11.0,1.0,1.9600000000000009,10,11,0.41716513355255225,5732780,1.0,2.0,False
ENSMUST00000361729.1,chr2,ENSMUSG00000140878.1,5786293,13.70212765969336,1.3055555555555556,12.507016749660474,16.0,-2.7925979462268753,2.0,15.0,40.0,1.9600000000000009,14,15,0.7106757258684107,5786076,40.0,1.0,False
ENSMUST00000361729.1,chr2,ENSMUSG00000140878.1,5786293,13.70212765969336,1.3055555555555556,12.507016749660474,16.0,-2.7925979462268753,2.0,5.0,1.0,2.960000000000001,4,6,0.7106757258684107,5786076,1.0,2.0,False
ENSMUST00000043864.9,chr2,ENSMUSG00000039128.14,5850055,26.209677419625223,3.875,9.929153659382589,28.0,-5.195760906882102,3.0,27.0,170.0,1.9599999999999937,26,27,0.47393865697173454,5849976,170.0,1.0,False
ENSMUST00000043864.9,chr2,ENSMUSG00000039128.14,5850055,26.209677419625223,3.875,9.929153659382589,28.0,-5.195760906882102,3.0,14.0,2.0,1.9600000000000009,13,14,0.47393865697173454,5849976,2.0,2.0,False
ENSMUST00000043864.9,chr2,ENSMUSG00000039128.14,5850055,26.209677419625223,3.875,9.929153659382589,28.0,-5.195760906882102,3.0,0.0,1.0,1.9600000000000009,0,0,0.47393865697173454,5849976,1.0,3.0,False
ENSMUST00000274642.1,chr2,ENSMUSG00000085818.9,5900115,1.0505617978051305,4.944444444444445,10.474971594495644,16.0,3.163112356299562,2.0,0.0,158.0,1.9600000000000009,0,0,0.6071981178582413,5900292,158.0,1.0,False
ENSMUST00000274642.1,chr2,ENSMUSG00000085818.9,5900115,1.0505617978051305,4.944444444444445,10.474971594495644,16.0,3.163112356299562,2.0,15.0,4.0,2.900000000000002,13,15,0.6071981178582413,5900292,4.0,2.0,False
ENSMUST00000114942.9,chr2,ENSMUSG00000045319.14,6135287,17.911214953288436,5.35,10.193051794916585,20.0,-3.355145782652719,2.0,19.0,184.0,1.970769230769232,18,19,0.7083374514120465,6135023,184.0,1.0,False
ENSMUST00000114942.9,chr2,ENSMUSG00000045319.14,6135287,17.911214953288436,5.35,10.193051794916585,20.0,-3.355145782652719,2.0,8.0,3.0,3.92,5,8,0.7083374514120465,6135023,3.0,2.0,False
ENSMUST00000054254.12,chr2,ENSMUSG00000045319.14,6134931,25.080000000074506,2.127659574468085,12.453599999999996,27.0,-4.724397490493478,3.0,26.0,92.0,1.9599999999999937,25,26,0.39830338283173206,6134958,92.0,1.0,False
ENSMUST00000054254.12,chr2,ENSMUSG00000045319.14,6134931,25.080000000074506,2.127659574468085,12.453599999999996,27.0,-4.724397490493478,3.0,15.0,2.0,2.9400000000000013,13,15,0.39830338283173206,6134958,2.0,2.0,False
ENSMUST00000054254.12,chr2,ENSMUSG00000045319.14,6134931,25.080000000074506,2.127659574468085,12.453599999999996,27.0,-4.724397490493478,3.0,0.0,1.0,1.9600000000000009,0,0,0.39830338283173206,6134958,1.0,3.0,False
ENSMUST00000358487.1,chr2,ENSMUSG00000140224.1,6261385,0.7287671230733395,9.125,7.0908162882341905,20.0,4.101099790498135,2.0,0.0,333.0,1.9629518072289152,0,0,0.510046977429094,6261648,333.0,1.0,False
ENSMUST00000358487.1,chr2,ENSMUSG00000140224.1,6261385,0.7287671230733395,9.125,7.0908162882341905,20.0,4.101099790498135,2.0,11.0,1.0,1.9600000000000009,10,11,0.510046977429094,6261648,3.0,2.0,False
ENSMUST00000302095.1,chr2,ENSMUSG00000130814.1,6446572,8574.546961326152,0.02093937991670523,408468.41354049003,8624.0,-13.341471111338553,3.0,8623.0,162.0,1.9599999999991269,8622,8623,0.5826715546537865,6455398,162.0,1.0,False
ENSMUST00000302095.1,chr2,ENSMUSG00000130814.1,6446572,8574.546961326152,0.02093937991670523,408468.41354049003,8624.0,-13.341471111338553,3.0,0.0,1.0,1.9600000000000009,0,0,0.5826715546537865,6455398,1.0,2.0,False
ENSMUST00000302095.1,chr2,ENSMUSG00000130814.1,6446572,8574.546961326152,0.02093937991670523,408468.41354049003,8624.0,-13.341471111338553,3.0,8611.0,1.0,1.9599999999991269,8610,8611,0.5826715546537865,6455398,1.0,3.0,False
ENSMUST00000194293.2,chr2,ENSMUSG00000102599.2,6484350,0.9166666669771075,4.390243902439025,9.165277777777778,21.0,4.028349380044082,2.0,0.0,160.0,1.9600000000000009,0,0,0.5829120477559928,6484500,160.0,1.0,False
ENSMUST00000194293.2,chr2,ENSMUSG00000102599.2,6484350,0.9166666669771075,4.390243902439025,9.165277777777778,21.0,4.028349380044082,2.0,20.0,1.0,1.9600000000000009,19,20,0.5829120477559928,6484500,1.0,2.0,False
ENSMUST00000358433.1,chr2,ENSMUSG00000140203.1,6510696,26.086757990531623,4.5625,13.987906840974963,28.0,-4.753440294240276,3.0,27.0,200.0,1.9599999999999937,26,27,0.4923009805064458,6510562,200.0,1.0,False
ENSMUST00000358433.1,chr2,ENSMUSG00000140203.1,6510696,26.086757990531623,4.5625,13.987906840974963,28.0,-4.753440294240276,3.0,17.0,3.0,1.9600000000000009,16,17,0.4923009805064458,6510562,3.0,2.0,False
ENSMUST00000358433.1,chr2,ENSMUSG00000140203.1,6510696,26.086757990531623,4.5625,13.987906840974963,28.0,-4.753440294240276,3.0,7.0,2.0,1.9600000000000009,6,7,0.4923009805064458,6510562,2.0,3.0,False
ENSMUST00000170438.8,chr2,ENSMUSG00000002107.20,6889939,16.386554622091353,3.1315789473684212,5.783348633571076,18.0,-4.482578703871221,2.0,17.0,110.0,1.9600000000000009,16,17,0.4224921099326582,6889808,110.0,1.0,False
ENSMUST00000170438.8,chr2,ENSMUSG00000002107.20,6889939,16.386554622091353,3.1315789473684212,5.783348633571076,18.0,-4.482578703871221,2.0,7.0,2.0,4.940000000000001,6,10,0.4224921099326582,6889808,2.0,2.0,False
ENSMUST00000114934.11,chr2,ENSMUSG00000002107.20,6890017,16.514970059506595,4.394736842105263,5.088099250600596,18.0,-5.181632427377773,2.0,17.0,157.0,1.9600000000000009,16,17,0.3281793391956266,6889808,157.0,1.0,False
ENSMUST00000114934.11,chr2,ENSMUSG00000002107.20,6890017,16.514970059506595,4.394736842105263,5.088099250600596,18.0,-5.181632427377773,2.0,7.0,2.0,2.9400000000000013,6,8,0.3281793391956266,6889808,2.0,2.0,False
ENSMUST00000100426.3,chr2,ENSMUSG00000075538.3,6940166,24.138364779762924,3.3125,9.678968395237527,28.0,-4.675422786631131,3.0,25.0,141.0,1.9599999999999937,24,25,0.6193494533450054,6939893,141.0,1.0,False
ENSMUST00000100426.3,chr2,ENSMUSG00000075538.3,6940166,24.138364779762924,3.3125,9.678968395237527,28.0,-4.675422786631131,3.0,0.0,1.0,1.9600000000000009,0,0,0.6193494533450054,6939893,1.0,2.0,False
ENSMUST00000100426.3,chr2,ENSMUSG00000075538.3,6940166,24.138364779762924,3.3125,9.678968395237527,28.0,-4.675422786631131,3.0,15.0,1.0,1.4699999999999989,14,15,0.6193494533450054,6939893,2.0,3.0,False
ENSMUST00000317922.1,chr2,ENSMUSG00000133444.1,7226619,1.055837563239038,4.690476190476191,10.13393800407122,22.0,3.631091647431041,2.0,0.0,170.0,1.9600000000000009,0,0,0.7176838196289057,7226805,170.0,1.0,False
ENSMUST00000317922.1,chr2,ENSMUSG00000133444.1,7226619,1.055837563239038,4.690476190476191,10.13393800407122,22.0,3.631091647431041,2.0,13.0,3.0,1.9600000000000009,12,13,0.7176838196289057,7226805,3.0,2.0,False
ENSMUST00000285001.1,chr2,ENSMUSG00000127977.1,7408849,0.0,0.047619047619047616,0.0,1.0,,1.0,0.0,1.0,1.9600000000000009,0,0,0.0,7409039,1.0,0.0,False
ENSMUST00000187783.2,chr2,ENSMUSG00000099424.2,7534573,1.1568627450615168,0.9272727272727272,24.798923490965013,35.0,5.74836957616162,2.0,0.0,46.0,1.9600000000000009,0,0,0.4513589935161246,7534749,46.0,1.0,False
ENSMUST00000187783.2,chr2,ENSMUSG00000099424.2,7534573,1.1568627450615168,0.9272727272727272,24.798923490965013,35.0,5.74836957616162,2.0,34.0,1.0,1.9599999999999937,33,34,0.4513589935161246,7534749,1.0,2.0,False
ENSMUST00000343865.1,chr2,ENSMUSG00000137832.1,7535268,10.11111111100763,0.29136690647482016,2354.1975308641977,258.0,4.871509632098496,4.0,0.0,74.0,1.9600000000000009,0,0,0.4216509600661068,7535051,74.0,1.0,False
ENSMUST00000343865.1,chr2,ENSMUSG00000137832.1,7535268,10.11111111100763,0.29136690647482016,2354.1975308641977,258.0,4.871509632098496,4.0,257.0,3.0,1.9600000000000364,256,257,0.4216509600661068,7535051,3.0,2.0,False
ENSMUST00000343865.1,chr2,ENSMUSG00000137832.1,7535268,10.11111111100763,0.29136690647482016,2354.1975308641977,258.0,4.871509632098496,4.0,14.0,1.0,1.9600000000000009,13,14,0.4216509600661068,7535051,1.0,3.0,False
ENSMUST00000343865.1,chr2,ENSMUSG00000137832.1,7535268,10.11111111100763,0.29136690647482016,2354.1975308641977,258.0,4.871509632098496,4.0,24.0,1.0,1.9599999999999937,23,24,0.4216509600661068,7535051,1.0,4.0,False
ENSMUST00000121483.2,chr2,ENSMUSG00000083252.2,7635928,0.46511627919971943,4.914285714285715,4.225527312060573,15.0,4.881244915909257,2.0,0.0,162.0,1.9600000000000009,0,0,0.3315090733773723,7635886,162.0,1.0,False
ENSMUST00000121483.2,chr2,ENSMUSG00000083252.2,7635928,0.46511627919971943,4.914285714285715,4.225527312060573,15.0,4.881244915909257,2.0,14.0,2.0,1.9600000000000009,13,14,0.3315090733773723,7635886,2.0,2.0,False
ENSMUST00000118295.2,chr2,ENSMUSG00000083269.2,8152469,26.93617021292448,2.877551020408163,14.315074694431871,29.0,-4.321260072002038,3.0,28.0,127.0,1.9599999999999937,27,28,0.5523493144394072,8152677,127.0,1.0,False
ENSMUST00000118295.2,chr2,ENSMUSG00000083269.2,8152469,26.93617021292448,2.877551020408163,14.315074694431871,29.0,-4.321260072002038,3.0,18.0,3.0,3.9200000000000017,17,20,0.5523493144394072,8152677,3.0,2.0,False
ENSMUST00000118295.2,chr2,ENSMUSG00000083269.2,8152469,26.93617021292448,2.877551020408163,14.315074694431871,29.0,-4.321260072002038,3.0,0.0,1.0,1.9600000000000009,0,0,0.5523493144394072,8152677,1.0,3.0,False
ENSMUST00000285103.1,chr2,ENSMUSG00000127991.1,8801811,1.170731706544757,0.8723404255319149,18.775728732897083,27.0,4.781843908573758,2.0,0.0,36.0,1.9600000000000009,0,0,0.5670676329379674,8801654,36.0,1.0,False
ENSMUST00000285103.1,chr2,ENSMUSG00000127991.1,8801811,1.170731706544757,0.8723404255319149,18.775728732897083,27.0,4.781843908573758,2.0,26.0,1.0,1.9599999999999937,25,26,0.5670676329379674,8801654,1.0,2.0,False
ENSMUST00000332702.1,chr2,ENSMUSG00000135864.1,8929652,0.6068965513259172,3.625,6.73512485136742,20.0,5.115678929059753,2.0,0.0,133.0,1.9674242424242436,0,0,0.4528605596759343,8929851,133.0,1.0,False
ENSMUST00000332702.1,chr2,ENSMUSG00000135864.1,8929652,0.6068965513259172,3.625,6.73512485136742,20.0,5.115678929059753,2.0,11.0,2.0,1.9600000000000009,10,11,0.4528605596759343,8929851,2.0,2.0,False
ENSMUST00000379445.1,chr2,ENSMUSG00000143819.1,9194259,27.04850746318698,5.469387755102041,13.770035085765201,29.0,-4.899443131894269,3.0,28.0,241.0,1.9599999999999937,27,28,0.5804872549204837,9194224,241.0,1.0,False
ENSMUST00000379445.1,chr2,ENSMUSG00000143819.1,9194259,27.04850746318698,5.469387755102041,13.770035085765201,29.0,-4.899443131894269,3.0,18.0,3.0,2.9200000000000017,17,19,0.5804872549204837,9194224,3.0,2.0,False
ENSMUST00000379445.1,chr2,ENSMUSG00000143819.1,9194259,27.04850746318698,5.469387755102041,13.770035085765201,29.0,-4.899443131894269,3.0,8.0,1.0,2.960000000000001,7,9,0.5804872549204837,9194224,1.0,3.0,False
ENSMUST00000363832.1,chr2,ENSMUSG00000085580.3,9195098,38.25663716904819,0.035703001579778834,86136.47396037278,3145.0,10.485790788855478,4.0,10.0,80.0,5.180000000000003,9,14,1.3303940354597334,9194347,80.0,1.0,False
ENSMUST00000363832.1,chr2,ENSMUSG00000085580.3,9195098,38.25663716904819,0.035703001579778834,86136.47396037278,3145.0,10.485790788855478,4.0,25.0,2.0,1.9599999999999937,24,25,1.3303940354597334,9194347,2.0,2.0,False
ENSMUST00000363832.1,chr2,ENSMUSG00000085580.3,9195098,38.25663716904819,0.035703001579778834,86136.47396037278,3145.0,10.485790788855478,4.0,0.0,1.0,1.9600000000000009,0,0,1.3303940354597334,9194347,1.0,3.0,False
ENSMUST00000363832.1,chr2,ENSMUSG00000085580.3,9195098,38.25663716904819,0.035703001579778834,86136.47396037278,3145.0,10.485790788855478,4.0,3144.0,1.0,1.9600000000000364,3143,3144,1.3303940354597334,9194347,1.0,4.0,False
